Route Option,Distance,Time of day,Delivery Vehicles,Escort Vehicles,ISR UAVs,Value of Supplies,Urgency of Supplies,Weather,Drones able to fly,% chance of IEDs,% chance to encounter enemy forces,Expected Enemy Capability,Threat to Delivery Vehicle,Threat to Escort Vehicle,Threat to ISR UAVs,Road Quality,Route Acceptability (current hour)
1,3 hours,18:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,35,30,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Acceptable
1,3 hours,19:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,35,30,"Equipped with low quality assault rifles, low quality rocket propelled grenades, low training levels",Low - Medium,Low - Medium,Low,Medium,Rejected
1,3 hours,20:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,35,25,"Equipped with low quality assault rifles, low quality rocket propelled grenades, low training levels",Low - Medium,Low - Medium,Low,Medium,Rejected
1,3 hours,21:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,35,45,"Equipped with low quality assault rifles, low quality rocket propelled grenades, low training levels",Low - Medium,Low - Medium,Low,Medium,Rejected
1,3 hours,22:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,35,25,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Acceptable
1,3 hours,23:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,35,20,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Acceptable
2,4 hours,00:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Cloud,Yes,45,25,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Low,Rejected
2,4 hours,01:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,45,25,"Equipped with low quality assault rifles, low quality rocket propelled grenades, low training levels",Low - Medium,Low - Medium,Low,Low,Rejected
2,4 hours,02:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Heavy Cloud,No,45,25,"Equipped with low quality assault rifles, low quality rocket propelled grenades, low training levels",Low - Medium,Low - Medium,Low,Low,Rejected
2,4 hours,03:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Rain,Yes,45,30,"Equipped with low quality assault rifles, low quality rocket propelled grenades, low training levels",Low - Medium,Low - Medium,Low,Low,Rejected
2,4 hours,04:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Rain,Yes,45,30,"Equipped with medium quality assault rifles, grenades, low training levels, ",Low - Medium,Low,Low,Low,Rejected
2,4 hours,05:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Cloud,Yes,45,30,"Equipped with medium quality assault rifles, grenades, low training levels, ",Low - Medium,Low,Low,Low,Rejected
2,4 hours,06:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,45,30,"Equipped with medium quality assault rifles, grenades, low training levels, ",Low - Medium,Low,Low,Low,Rejected
2,4 hours,07:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,45,25,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Low,Rejected
2,4 hours,08:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Sunny,Yes,45,35,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Low,Rejected
2,4 hours,09:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Sunny,Yes,45,45,"Equipped with medium quality assault rifles, medium quality rocket propelled grenades, low training levels",Medium,Medium,Low,Low,Rejected
2,4 hours,10:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Sunny,Yes,45,35,"Equipped with medium quality assault rifles, medium quality rocket propelled grenades, low training levels",Medium,Medium,Low,Low,Rejected
2,4 hours,11:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Sunny,Yes,45,25,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Low,Rejected
2,4 hours,12:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Sunny,Yes,45,25,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Low,Rejected
2,4 hours,13:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Sunny,Yes,45,35,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Low,Rejected
2,4 hours,14:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Sunny,Yes,45,25,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Low,Rejected
2,4 hours,15:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Cloud,Yes,45,35,"Equipped with low quality assault rifles, low quality rocket propelled grenades, low training levels",Low - Medium,Low - Medium,Low,Low,Rejected
2,4 hours,16:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Cloud,Yes,45,25,"Equipped with low quality assault rifles, low quality rocket propelled grenades, low training levels",Low - Medium,Low - Medium,Low,Low,Rejected
2,4 hours,17:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,45,45,"Equipped with low quality assault rifles, low quality rocket propelled grenades, low training levels",Low - Medium,Low - Medium,Low,Low,Rejected
2,4 hours,18:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,45,35,"Equipped with low quality assault rifles, low quality rocket propelled grenades, low training levels",Low - Medium,Low - Medium,Low,Low,Rejected
2,4 hours,19:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,45,35,"Equipped with low quality assault rifles, low quality rocket propelled grenades, low training levels",Low - Medium,Low - Medium,Low,Low,Rejected
2,4 hours,20:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,45,35,"Equipped with low quality assault rifles, low quality rocket propelled grenades, low training levels",Low - Medium,Low - Medium,Low,Low,Rejected
2,4 hours,21:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,45,35,"Equipped with low quality assault rifles, low quality rocket propelled grenades, low training levels",Low - Medium,Low,Low,Low,Rejected
2,4 hours,22:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,45,35,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Low,Rejected
2,4 hours,23:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,45,25,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Low,Rejected
3,2 hours,00:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Cloud,Yes,30,10,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Acceptable
3,2 hours,01:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,30,10,"Equipped with low quality assault rifles, low quality rocket propelled grenades, low training levels",Low - Medium,Low - Medium,Low,Medium,Acceptable
3,2 hours,02:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Heavy Cloud,No,30,15,"Equipped with low quality assault rifles, low quality rocket propelled grenades, low training levels",Low - Medium,Low - Medium,Low,Medium,Rejected
3,2 hours,03:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Rain,Yes,30,15,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Acceptable
3,2 hours,04:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Rain,Yes,30,15,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Acceptable
3,2 hours,05:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Cloud,Yes,30,20,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Acceptable
3,2 hours,06:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,30,20,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Acceptable
3,2 hours,07:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,30,25,"Equipped with low quality assault rifles, low quality rocket propelled grenades, low training levels",Low - Medium,Low - Medium,Low,Medium,Rejected
3,2 hours,08:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Sunny,Yes,30,25,"Equipped with low quality assault rifles, low quality rocket propelled grenades, low training levels",Low - Medium,Low - Medium,Low,Medium,Rejected
3,2 hours,09:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Sunny,Yes,30,50,"Equipped with medium quality assault rifles, medium quality rocket propelled grenades, low training levels",Medium,Medium,Low,Medium,Rejected
3,2 hours,10:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Sunny,Yes,30,45,"Equipped with medium quality assault rifles, medium quality rocket propelled grenades, low training levels",Medium,Medium,Low,Medium,Rejected
3,2 hours,11:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Sunny,Yes,30,35,"Equipped with medium quality assault rifles, medium quality rocket propelled grenades, low training levels",Medium,Medium,Low,Medium,Rejected
3,2 hours,12:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Sunny,Yes,30,15,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Acceptable
3,2 hours,13:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Sunny,Yes,30,25,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Acceptable
3,2 hours,14:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Sunny,Yes,30,30,"Equipped with low quality assault rifles, grenades, low training levels",Low - Medium,Low,Low,Medium,Acceptable
3,2 hours,15:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Cloud,Yes,30,30,"Equipped with low quality assault rifles, grenades, low training levels",Low - Medium,Low,Low,Medium,Acceptable
3,2 hours,16:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Cloud,Yes,30,40,"Equipped with low quality assault rifles, grenades, low training levels",Low - Medium,Low,Low,Medium,Rejected
3,2 hours,17:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,30,40,"Equipped with low quality assault rifles, grenades, low training levels",Low - Medium,Low,Low,Medium,Rejected
3,2 hours,18:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,30,30,"Equipped with low quality assault rifles, grenades, low training levels",Low - Medium,Low,Low,Medium,Acceptable
3,2 hours,19:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,30,10,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Acceptable
3,2 hours,20:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,30,10,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Acceptable
3,2 hours,21:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,30,45,"Equipped with medium quality assault rifles, medium quality rocket propelled grenades, low training levels",Medium,Medium,Low,Medium,Rejected
3,2 hours,22:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,30,40,"Equipped with medium quality assault rifles, medium quality rocket propelled grenades, low training levels",Medium,Medium,Low,Medium,Rejected
3,2 hours,23:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,30,10,"Equipped with medium quality assault rifles, medium quality rocket propelled grenades, low training levels",Medium,Medium,Low,Medium,Acceptable
4,3 hours,00:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Cloud,Yes,40,20,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Rejected
4,3 hours,01:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,40,20,"Equipped with low quality assault rifles, low quality rocket propelled grenades, low training levels",Low - Medium,Low - Medium,Low,Medium,Rejected
4,3 hours,02:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Heavy Cloud,No,40,20,"Equipped with low quality assault rifles, low quality rocket propelled grenades, low training levels",Low - Medium,Low - Medium,Low,Medium,Rejected
4,3 hours,03:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Rain,Yes,40,20,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Rejected
4,3 hours,04:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Rain,Yes,40,20,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Rejected
4,3 hours,05:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Cloud,Yes,40,25,"Equipped with low quality assault rifles, grenades, low training levels",Low - Medium,Low,Low,Medium,Rejected
4,3 hours,06:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,40,25,"Equipped with low quality assault rifles, low quality rocket propelled grenades, low training levels",Low - Medium,Low - Medium,Low,Medium,Rejected
4,3 hours,07:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,40,35,"Equipped with low quality assault rifles, low quality rocket propelled grenades, low training levels",Low - Medium,Low - Medium,Low,Medium,Rejected
4,3 hours,08:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Sunny,Yes,40,20,"Equipped with low quality assault rifles, low quality rocket propelled grenades, low training levels",Low - Medium,Low - Medium,Low,Medium,Rejected
4,3 hours,09:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Sunny,Yes,40,35,"Equipped with medium quality assault rifles, medium quality rocket propelled grenades, low training levels",Medium,Medium,Low,Medium,Rejected
4,3 hours,10:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Sunny,Yes,40,25,"Equipped with medium quality assault rifles, medium quality rocket propelled grenades, low training levels",Medium,Medium,Low,Medium,Rejected
4,3 hours,11:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Sunny,Yes,40,25,"Equipped with medium quality assault rifles, medium quality rocket propelled grenades, low training levels",Medium,Medium,Low,Medium,Rejected
4,3 hours,12:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Sunny,Yes,40,35,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Rejected
4,3 hours,13:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Sunny,Yes,40,30,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Rejected
4,3 hours,14:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Sunny,Yes,40,30,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Rejected
4,3 hours,15:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Cloud,Yes,40,30,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Rejected
4,3 hours,16:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Cloud,Yes,40,25,"Equipped with low quality assault rifles, grenades, low training levels",Low - Medium,Low,Low,Medium,Rejected
4,3 hours,17:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,40,25,"Equipped with low quality assault rifles, grenades, low training levels",Low - Medium,Low,Low,Medium,Rejected
4,3 hours,18:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,40,30,"Equipped with low quality assault rifles, grenades, low training levels",Low - Medium,Low,Low,Medium,Rejected
4,3 hours,19:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,40,35,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Rejected
4,3 hours,20:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,40,35,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Rejected
4,3 hours,21:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,40,40,"Equipped with medium quality assault rifles, medium quality rocket propelled grenades, low training levels",Medium,Medium,Low,Medium,Rejected
4,3 hours,22:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,40,15,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Rejected
4,3 hours,23:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,40,20,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,Medium,Rejected
4,5 hours,00:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Cloud,Yes,25,10,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,High,Acceptable
4,5 hours,01:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,25,10,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,High,Acceptable
4,5 hours,02:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Heavy Cloud,No,25,10,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,High,Rejected
4,5 hours,03:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Rain,Yes,25,15,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,High,Acceptable
4,5 hours,04:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Rain,Yes,25,20,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,High,Acceptable
4,5 hours,05:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Cloud,Yes,25,25,"Equipped with low quality assault rifles, grenades, low training levels",Low - Medium,Low,Low,High,Acceptable
4,5 hours,06:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,25,35,"Equipped with low quality assault rifles, low quality rocket propelled grenades, low training levels",Low - Medium,Low - Medium,Low,High,Rejected
4,5 hours,07:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,25,40,"Equipped with medium quality assault rifles, medium quality rocket propelled grenades, low training levels",Medium,Medium,Low,High,Rejected
4,5 hours,08:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Sunny,Yes,25,40,"Equipped with medium quality assault rifles, medium quality rocket propelled grenades, low training levels",Medium,Medium,Low,High,Rejected
4,5 hours,09:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Sunny,Yes,25,60,"Equipped with medium quality assault rifles, medium quality rocket propelled grenades, low training levels",Medium,Medium,Low,High,Rejected
4,5 hours,10:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Sunny,Yes,25,40,"Equipped with medium quality assault rifles, medium quality rocket propelled grenades, low training levels",Medium,Medium,Low,High,Rejected
4,5 hours,11:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Sunny,Yes,25,40,"Equipped with medium quality assault rifles, medium quality rocket propelled grenades, low training levels",Medium,Medium,Low,High,Rejected
4,5 hours,12:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Sunny,Yes,25,45,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,High,Rejected
4,5 hours,13:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Sunny,Yes,25,20,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,High,Acceptable
4,5 hours,14:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Sunny,Yes,25,15,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,High,Acceptable
4,5 hours,15:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Cloud,Yes,25,10,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,High,Acceptable
4,5 hours,16:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Light Cloud,Yes,25,10,"Equipped with low quality assault rifles, grenades, low training levels",Low - Medium,Low,Low,High,Acceptable
4,5 hours,17:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,25,10,"Equipped with low quality assault rifles, grenades, low training levels",Low - Medium,Low,Low,High,Acceptable
4,5 hours,18:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,25,10,"Equipped with low quality assault rifles, grenades, low training levels",Low - Medium,Low,Low,High,Acceptable
4,5 hours,19:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,25,40,"Equipped with low quality assault rifles, grenades, low training levels",Low - Medium,Low,Low,High,Rejected
4,5 hours,20:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,25,40,"Equipped with low quality assault rifles, grenades, low training levels",Low - Medium,Low,Low,High,Rejected
4,5 hours,21:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,25,45,"Equipped with medium quality assault rifles, medium quality rocket propelled grenades, low training levels",Medium,Medium,Low,High,Rejected
4,5 hours,22:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,25,15,"Equipped with low quality assault rifles, low training levels",Low,Low,Low,High,Acceptable
4,5 hours,23:00,2 Vehicles,10 Vehicles,3 Vehicles,Medium,High,Medium Cloud,Yes,25,10,"Equipped with medium quality assault rifles, medium quality rocket propelled grenades, low training levels",Medium,Medium,Low,High,Acceptable
